rowid,permanent_identifier,comid,resolution,gnis_id,gnis_name,area_sq_km,reachcode,ftype,fcode,vpuid,data_group,dist_m,location_type,Station,Description,Channel,Slope,notes,dist_to_shore,Latitude,Longitude
445,88880859,41000300136226,2,00178135,Shadow Mountain Lake,5.32105345,14010001002847,436,43615,1401,NW,368.98124870809653,poi_center,NA,NA,NA,NA,NA,NA,40.21035202041787,-105.84765338445727
446,88861035,41000300136678,2,00197899,Windy Gap Reservoir,0.41397711,14010001010337,436,43615,1401,NW,132.03641360094224,poi_center,NA,NA,NA,NA,NA,NA,40.102707384294355,-105.98133751734053
447,79947672,41000300139362,2,00196488,Green Mountain Reservoir,8.27371764,14010002000670,390,39012,1401,NW,415.13297067020545,poi_center,NA,NA,NA,NA,NA,NA,39.87925403583574,-106.31115949131124
448,88889631,41000300142284,2,00178088,Willow Creek Reservoir,1.18222999,14010001002871,436,43615,1401,NW,292.7258317219594,poi_center,NA,NA,NA,NA,NA,NA,40.147098067361306,-105.95237287994027
449,88894713,41000300145847,2,00202532,Lake Granby,28.63147574,14010001002895,436,43615,1401,NW,1138.1215692775863,poi_center,NA,NA,NA,NA,NA,NA,40.16430631405244,-105.87893638430232
450,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,468.08229907467273,poi_center,NA,NA,NA,NA,NA,NA,40.245286173290964,-105.81946424196727
451,128076370,23001900243024,2,00177416,Horsetooth Reservoir,7.355,10190007002437,390,39009,1019,"CLP, NW, ROSS_CLP",450.88669790426985,poi_center,NA,NA,NA,NA,NA,NA,40.55411487321677,-105.1544037934793
452,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,GL-ATW,GrandLakeWestPortal,N,West,NA,131,40.2411,-105.8045
453,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,GL-MID,GrandLakeMid-Section,N,West,NA,417,40.2433,-105.8133
454,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,GL-WES,GrandLakeWest,N,West,manually added,163,40.2422,-105.8217
455,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,GL-KEM,GrandLakeKEM,N,West,manually added,133,40.2493,-105.8231
456,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,GL-SB,GrandLakeSB,N,West,manually added,114,40.2489,-105.8182
457,{B483B704-53F3-41B5-B65A-401D555B16C8},41000300146803,2,00204950,Grand Lake,1.9529575,14010001023630,390,39009,1401,NW,NA,station,GL-NI,GrandLakeNorthInlet,N,West,manually added,190,40.2469,-105.8159
